Museum,Specimen ID,County,State,Year,Sex,Latitude,Longitude,SVL (mm),Humerus (mm),RadiusUlna (mm),Forelimb (mm),Femur (mm),TibFib (mm),Hindlimb Length,HeadLength (mm),HeadWidth (mm),HeadHeight (mm)
personal,1,Alachua,Florida,2008,M,29.643861,-82.344575,46.7,5.8,6.3,12.1,8,8.9,16.9,14.2,7.7,5.6
personal,2,Alachua,Florida,2008,F,29.643861,-82.344575,47.6,6.4,6.5,12.9,9.2,9.5,18.7,13.8,7.4,5.1
personal,3,Alachua,Florida,2008,M,29.643861,-82.344575,43.7,6.5,6.2,12.7,8.1,8.6,16.7,13.5,7.5,5.1
FLMNH,3229,Alachua,Florida,1949,M,29.735837,-82.450854,46.67,7.58,6.55,14.13,9.23,10.07,19.3,14.68,8.41,6.49
FLMNH,8025,Alachua,Florida,1952,F,29.794922,-82.167618,43.51,6.35,6.12,12.47,8.46,9.84,18.3,13.03,7.27,5.27
FLMNH,9562,Alachua,Florida,1957,M,29.532149,-82.227993,53,7.03,7.29,14.32,10.09,9.73,19.82,16.42,8.7,6.31
FLMNH,14579,Alachua,Florida,1960,M,,,55,7.48,6.76,14.24,10.29,9.14,19.43,16.54,8.95,6.08
FLMNH,14580,Alachua,Florida,1960,M,29.694188,-82.354271,46,6.34,6.12,12.46,8.38,8.27,16.65,14.41,7.5,5.3
FLMNH,14678,Alachua,Florida,1958,M,29.687915,-82.206547,50,7.14,6.51,13.65,9.63,9.83,19.46,15.42,8,5.63
FLMNH,101839,Alachua,Florida,1958,M,29.659602,-82.410676,52,6.39,7.12,13.51,11.24,10.17,21.41,15.92,8.71,6.16
FLMNH,101840,Alachua,Florida,1958,F,29.594353,-82.339096,48,6.61,6.43,13.04,9.05,8.83,17.88,13.24,7.17,4.8
FLMNH,101841,Alachua,Florida,1958,M,29.724368,-82.257255,51,6.47,6.67,13.14,9.03,9.67,18.7,14.49,7.95,5.39
FLMNH,101842,Alachua,Florida,1958,M,29.530151,-82.308838,44,5.99,5.71,11.7,8.55,8.27,16.82,13.17,7.46,5.25
FLMNH,101843,Alachua,Florida,1958,F,29.545245,-82.397171,45,6.35,5.94,12.29,8.29,7.86,16.15,12.1,6.6,4.68
FLMNH,106650,Nassau,Florida,1997,M,30.73536,-81.694889,58,7.64,7.19,14.83,10.54,9.21,19.75,15.33,8.29,5.8
FLMNH,115063,St. Johns,Florida,1998,F,,,46,5.35,5.86,11.21,8.03,7.55,15.58,12.75,7.11,4.8
FLMNH,121362,St. Johns,Florida,1999,M,29.884107,-82.000283,51,6.43,7.22,13.65,9.36,9.35,18.71,15.48,8.26,5.41
FLMNH,124193,Volusia,Florida,1996,M,29.222682,-81.011465,59.54333333,8.896666667,7.913333333,16.81,11.37,11.16333333,22.53333333,19.43,9.813333333,6.583333333
FLMNH,124802,Suwannee,Florida,2001,F,29.956007,-82.779556,47,6.25,5.8,12.05,8.02,7.91,15.93,12.93,6.85,4.64
FLMNH,137344,Alachua,Florida,2003,F,29.694389,-82.354261,47.22,7.6,6.6,14.2,9.43,9.85,19.28,14.07,7.51,5.87
FLMNH,144889,Alachua,Florida,2001,F,29.705873,-82.398618,51,6.67,6.65,13.32,9.5,8.46,17.96,13.89,7.96,5.38
FLMNH,152726,Alachua,Florida,2008,M,29.680162,-82.350639,51,7.64,7,14.64,9.74,9.18,18.92,16.12,8.63,5.88
FLMNH,1177-1,Alachua,Florida,1937,M,29.82183,-82.631718,50,6.23,6.46,12.69,9.29,8.87,18.16,15.13,7.82,6.06
FLMNH,2505-2,Alachua,Florida,1949,M,29.700069,-82.346391,47,5.85,6.15,12,8.74,8.63,17.37,14.51,7.93,5.4
FLMNH,2900-1,Alachua,Florida,1950,M,29.65129,-82.351056,51,7.32,6.87,14.19,9.68,9.54,19.22,15.58,8.79,5.88
FLMNH,2900-15,Alachua,Florida,1950,M,29.65129,-81.351056,51,6.96,6.66,13.62,8.69,8.53,17.22,15.48,8.18,6.01
FLMNH,2900-19,Alachua,Florida,1950,F,29.65129,-80.351056,45,5.46,4.67,10.13,9.02,7.76,16.78,13.28,7.05,5.24
FLMNH,2900-3,Alachua,Florida,1950,M,29.65129,-79.351056,47,6.51,5.79,12.3,8.8,8.74,17.54,14.22,7.51,5.16
FLMNH,7497-1,Alachua,Florida,1952,M,29.641621,-82.356994,46,6.4,5.83,12.23,8.96,8.23,17.19,14.05,7.82,5.51
FLMNH,7497-2,Alachua,Florida,1952,M,29.641621,-81.356994,53,7.11,6.74,13.85,9.76,9.24,19,16.63,8.38,5.91
FLMNH,8920-1,Alachua,Florida,1956,F,29.70687,-82.394222,46,6.34,5.63,11.97,8.12,8.47,16.59,13.01,7.2,5.5
FLMNH,9560-1,Alachua,Florida,1957,M,29.578139,-82.334864,46,6.02,6.03,12.05,8.6,8.55,17.15,13.76,7.57,5.63
FLMNH,9560-2,Alachua,Florida,1957,M,29.578139,-82.334864,55,7.72,7.08,14.8,9.93,9.72,19.65,16.81,9.16,6.47
FLMNH,9560-3,Alachua,Florida,1957,M,29.578139,-82.334864,50,5.97,5.64,11.61,8.65,8.76,17.41,14.71,8.27,5.75
personal,DC04,Alachua,Florida,2009,M,29.535515,-82.305097,51.74,,,,,,,16.35,8.75,6.21
personal,DC05,Alachua,Florida,2009,M,29.535515,-82.305097,50.78,,,,,,,15.47,8.04,5.54
personal,DC08,Alachua,Florida,2009,M,29.535515,-82.305097,52.36,,,,,,,16.25,8.51,5.27
personal,DC09,Alachua,Florida,2009,M,29.535515,-82.305097,50.43,,,,,,,15.44,8.24,5.85
personal,DC11,Alachua,Florida,2009,M,29.535515,-82.305097,52.87,,,,,,,16.09,8.2,5.83
FLMNH,1177-2,Alachua,Florida,1937,F,29.783775,-82.607968,47,5.99,6.25,12.24,8.99,8.17,17.16,13.41,7.15,5
FLMNH,1964-1,Alachua,Florida,1945,F,29.73983,-82.663483,46,6.13,5.93,12.06,8.79,7.79,16.58,13.52,7.12,4.78
FLMNH,1964-2,Alachua,Florida,1945,M,29.73983,-82.663483,54,7.49,7.2,14.69,10.42,9.04,19.46,16.72,8.65,6.45
FLMNH,2505-1,Alachua,Florida,1949,M,29.703274,-82.347301,50,7.56,7.13,14.69,10.56,9.56,20.12,15.82,7.86,5.81
FLMNH,2900-10,Alachua,Florida,1950,F,29.651674,-82.351097,48,5.66,6.19,11.85,8.86,8.2,17.06,13.2,6.9,5.08
FLMNH,2900-11,Alachua,Florida,1950,M,29.651674,-82.351097,48,7.08,6.74,13.82,9.86,8.82,18.68,14.3,7.81,5.48
FLMNH,2900-13,Alachua,Florida,1950,F,29.651674,-82.351097,46,6.37,6.7,13.07,8.87,7.89,16.76,13.47,7.47,5.34
FLMNH,2900-2,Alachua,Florida,1950,M,29.651674,-82.351097,53,7.2,6.95,14.15,10.68,9.03,19.71,16.45,8.45,6.1
FLMNH,2900-4,Alachua,Florida,1950,M,29.651674,-82.351097,49,7.53,6.72,14.25,9.86,8.96,18.82,15.25,8.11,5.71
FLMNH,2900-5,Alachua,Florida,1950,M,29.651674,-82.351097,52,6.99,7.22,14.21,9.87,8.92,18.79,15.87,8.71,6.09
FLMNH,2900-6,Alachua,Florida,1950,F,29.651674,-82.351097,48,6.35,6.43,12.78,8.92,8.17,17.09,13.37,7.23,5.24
FLMNH,2900-7,Alachua,Florida,1950,M,29.651674,-82.351097,50,6.68,6.35,13.03,9.83,8.94,18.77,15.34,8.51,5.66
FLMNH,2900-8,Alachua,Florida,1950,F,29.651674,-82.351097,48,6.04,6.32,12.36,8.34,7.66,16,13.02,6.86,5.07
FLMNH,9080-1,Alachua,Florida,1956,M,29.648125,-82.344035,55,7.71,7.69,15.4,11,9.7,20.7,17.04,9.53,6.41
FLMNH,9080-2,Alachua,Florida,1956,M,29.648125,-82.344035,43,6.31,5.39,11.7,8.57,7.29,15.86,13.76,7.88,5.61
FLMNH,9560-4,Alachua,Florida,1958,F,29.572617,-82.331258,45,6.07,5.87,11.94,8.09,8.35,16.44,12.82,7.3,5.31
FLMNH,785,Terrell,Georgia,1954,M,32.118099,-84.220279,47.66666667,5.916666667,5.913333333,11.82666667,9.066666667,8.14,17.20666667,14.51333333,8.303333333,6.14
FLMNH,4110,Decatur County,Georgia,1953,M,33.752164,-84.639927,59.84,7.39,8.073333333,16.14666667,11.78666667,11.36666667,23.15333333,18.93333333,10.2,7.73
FLMNH,6975,Rabun,Georgia,1952,F,34.725094,-83.370164,51.33333333,6.823333333,6.346666667,12.69333333,8.993333333,9.073333333,18.06666667,14.16333333,8.046666667,5.923333333
FLMNH,73731,Thomas,Georgia,1967,M,30.670611,-83.770618,57.66666667,8.36,7.016666667,14.03333333,10.96333333,11.01333333,21.97666667,18.14,9.356666667,7.496666667
FLMNH,102466,Mitchell,Georgia,1958,M,32.885653,-84.368325,49.33333333,6.573333333,6.4,12.8,8.95,8.216666667,17.16666667,14.51333333,8.303333333,5.896666667
FLMNH,102473,Lee,Georgia,1959,F,31.886817,-84.174224,50.66666667,5.996666667,6.773333333,13.54666667,9.48,8.993333333,18.47333333,14.36333333,8.43,5.92
FLMNH,102474,Lee,Georgia,1959,M,31.886817,-84.174224,50,6.523333333,6.083333333,12.16666667,8.83,9.383333333,18.21333333,15.10333333,8.233333333,5.986666667
FLMNH,102475,Lee,Georgia,1959,F,31.886817,-84.174224,52.33333333,6.75,6.316666667,12.63333333,9.403333333,8.866666667,18.27,14.99666667,8.433333333,6.07
FLMNH,102479,Quitman,Georgia,1959,M,31.712659,-85.135738,57.66666667,7.443333333,7.553333333,15.10666667,10.71666667,10.62,21.33666667,17.60333333,10.05666667,7.323333333
FLMNH,102481,Chatham,Georgia,1962,F,32.187199,-81.195697,50,7.103333333,5.893333333,11.78666667,8.893333333,8.316666667,17.21,13.21666667,6.87,5.053333333
FLMNH,102482,Brantley County,Georgia,1974,M,32.075294,-82.897687,60.43666667,6.88,7.673333333,15.34666667,10.73333333,10.31333333,21.04666667,18.13333333,10.30666667,7.89
FLMNH,1409-2,Decatur County,Georgia,1954,F,30.789497,-84.764414,50.66666667,6.566666667,6.44,12.88,9.473333333,9.59,19.06333333,14.39666667,7.56,5.536666667
FLMNH,1409-3,Decatur County,Georgia,1954,F,30.789497,-84.764414,51,6.63,6.59,13.18,9.543333333,9.28,18.82333333,14.21666667,7.926666667,5.61
FLMNH,2555-2,Emanuel,Georgia,1949,M,32.790217,-82.225766,55.66666667,7.466666667,7.486666667,14.97333333,10.02,10.44666667,20.46666667,17.27,9.456666667,6.713333333
FLMNH,2555-6,Emanuel,Georgia,1949,F,32.790217,-82.225766,40.66666667,5.753333333,4.753333333,9.506666667,7.036666667,6.95,13.98666667,12.28666667,7.44,5.636666667
FLMNH,2555-7,Emanuel,Georgia,1949,M,32.790217,-82.225766,49,6.623333333,6.753333333,13.50666667,8.826666667,8.703333333,17.53,15.17666667,8.696666667,6.303333333
FLMNH,2556-3,Richmond,Georgia,1946,M,33.480072,-82.061043,47,6.003333333,5.823333333,11.64666667,8.186666667,8.676666667,16.86333333,14.40333333,7.716666667,6.05
FLMNH,2556-5,Richmond,Georgia,1946,M,33.480072,-82.061043,52,6.646666667,6.853333333,13.70666667,9.643333333,9.56,19.20333333,16.03,8.816666667,6.333333333
FLMNH,3232-1,Richmond,Georgia,1945,F,33.480072,-82.061043,51,6.503333333,5.876666667,11.75333333,9.5,8.556666667,18.05666667,14.01,7.973333333,5.646666667
FLMNH,3232-2,Richmond,Georgia,1946,M,33.480072,-82.061043,53,7.09,5.843333333,11.68666667,10.27666667,9.343333333,19.62,16.23,8.75,6.02
FLMNH,3232-4,Richmond,Georgia,1945,M,33.480072,-82.061043,49.66666667,6.34,5.31,10.62,8.99,8.433333333,17.42333333,15.15333333,8.353333333,5.9
FLMNH,3232-5,Richmond,Georgia,1945,F,33.480072,-82.061043,56,6.983333333,6.223333333,12.44666667,9.576666667,8.543333333,18.12,14.70333333,8.396666667,6.083333333
FLMNH,4121-1,Decatur County,Georgia,1953,M,30.789497,-84.764414,51,6.976666667,6.58,13.16,9.296666667,9.05,18.34666667,15.40333333,7.51,5.753333333
FLMNH,4121-2,Decatur County,Georgia,1953,M,30.789497,-84.764414,57.33333333,7.576666667,7.443333333,14.88666667,11.7,10.80333333,22.50333333,16.99,8.556666667,6.306666667
FLMNH,4199-1,Thomas,Georgia,1952,M,30.831852,-83.90213,62,8.243333333,7.896666667,15.79333333,11.34666667,10.94666667,22.29333333,19.54333333,10.60333333,7.44
FLMNH,4199-2,Thomas,Georgia,1952,M,30.831852,-83.90213,57,7.496666667,5.963333333,11.92666667,8.993333333,9.896666667,18.89,17.73,9.806666667,7.703333333
FLMNH,8962-2,Dougherty,Georgia,1956,F,31.574557,-84.172698,49.66666667,6.62,6.236666667,12.47333333,9.14,8.556666667,17.69666667,14.45333333,7.953333333,6.063333333
FLMNH,9295-10,Miller,Georgia,1957,F,31.141442,-84.681873,54,7.596666667,7.31,14.62,9.793333333,9.356666667,19.15,16.55666667,9.023333333,6.28
FLMNH,9295-2,Miller,Georgia,1957,M,31.141442,-84.681873,59,8.366666667,8.05,16.1,11.31,10.87333333,22.18333333,18.55,10.17666667,6.903333333
FLMNH,9295-4,Miller,Georgia,1957,M,31.141442,-84.681873,52.33333333,6.656666667,6.306666667,12.61333333,8.73,9.266666667,17.99666667,16.18333333,9.133333333,6.186666667
FLMNH,9295-7,Miller,Georgia,1957,M,31.141442,-84.681873,55,6.86,6.753333333,13.50666667,9.446666667,9.556666667,19.00333333,16.86,9.123333333,6.476666667
FLMNH,29352,Collier,Florida,1971,M,25.938657,-81.717837,51,7.326666667,6.613333333,13.94,10.06333333,9.28,19.34333333,15.98,7.57,5.73
FLMNH,102107,Collier,Florida,1972,M,26.269107,-81.342179,54.66666667,7.15,7.063333333,14.21333333,9.463333333,9.78,19.24333333,16.89,8.196666667,5.693333333
FLMNH,102108,Collier,Florida,1972,M,26.269107,-81.342179,53,6.776666667,6.866666667,13.64333333,9.32,9.56,18.88,15.82333333,8.093333333,5.853333333
FLMNH,102109,Collier,Florida,1972,M,25.809711,-81.35949,57,8.193333333,6.696666667,14.89,10.86666667,8.6,19.46666667,17.92333333,8.453333333,6.133333333
FLMNH,102112,Collier,Florida,1972,M,25.85967,-81.383066,52.33333333,6.97,6.726666667,13.69666667,9.34,9.683333333,19.02333333,16.19666667,8.38,5.95
FLMNH,102121,Collier,Florida,1972,M,25.852118,-80.988228,55,6.946666667,7.213333333,14.16,10.48,9.253333333,19.73333333,16.70666667,8.143333333,6.036666667
FLMNH,102103,Collier,Florida,1971,M,25.970779,-81.598088,54.66666667,7.403333333,6.673333333,14.07666667,8.793333333,9.826666667,18.62,17.14,8.12,5.563333333
FLMNH,102104,Collier,Florida,1972,M,25.778151,-81.089128,55.66666667,6.943333333,6.916666667,13.86,9.66,9.483333333,19.14333333,17.28,8.393333333,6.343333333
FLMNH,102106,Collier,Florida,1972,M,25.778151,-81.089128,55.66666667,6.996666667,7.04,14.03666667,8.673333333,9.373333333,18.04666667,16.53,7.926666667,5.866666667
FLMNH,102113,Collier,Florida,1972,M,25.899951,-81.302232,52,6.073333333,6.343333333,12.41666667,9.506666667,8.446666667,17.95333333,16.78,7.566666667,5.61
FLMNH,102114,Collier,Florida,1972,F,25.899951,-81.302232,46.33333333,5.836666667,5.6,11.43666667,7.783333333,7.83,15.61333333,12.77,5.9,4.543333333
FLMNH,102115,Collier,Florida,1972,M,25.899951,-81.302232,51.66666667,6.31,6.53,12.84,8.73,8.713333333,17.44333333,17.23666667,7.56,5.63
FLMNH,102117,Collier,Florida,1972,M,25.856519,-80.906951,56.33333333,6.74,7.086666667,13.82666667,11.72333333,9.583333333,21.30666667,17.33666667,7.9,6.15
FLMNH,102120,Collier,Florida,1972,F,25.852118,-80.988228,45,5.166666667,5.13,10.29666667,7.18,7.676666667,14.85666667,12.75,5.666666667,4.603333333
FLMNH,102122,Collier,Florida,1972,M,25.852118,-80.988228,53,5.736666667,6.353333333,12.09,9.733333333,8.92,18.65333333,16.26,7.43,5.626666667
FLMNH,102124,Collier,Florida,1972,M,25.852118,-80.988228,52,5.816666667,6.636666667,12.45333333,8.643333333,9.88,18.52333333,15.99666667,7.606666667,5.603333333
FLMNH,102125,Collier,Florida,1972,M,25.852118,-80.988228,56,7.593333333,7.396666667,14.99,9.81,9.45,19.26,17.23,8.29,6.015
FLMNH,65841,Collier,Florida,1949,M,26.154176,-81.366489,50.66666667,6.34,6.67,13.01,9.833333333,9.203333333,19.03666667,15.91,7.823333333,5.903333333
FLMNH,65186,Charlotte,Florida,1986,M,26.462835,-82.158637,59,7.22,7.59,14.81,9.663333333,9.986666667,19.65,18.45333333,8.58,6.65
FLMNH,3210-5,Charlotte,Florida,1949,M,26.885808,-82.065237,46,6.113333333,6.016666667,12.13,8.896666667,8.183333333,17.08,14.82,7.226666667,5.29
FLMNH,3210-1,Charlotte,Florida,1949,M,26.885808,-82.065237,48,6.626666667,6.143333333,12.77,8.216666667,8.656666667,16.87333333,15.36666667,7.553333333,5.503333333
FLMNH,101874,Charlotte,Florida,1972,F,26.994735,-81.942754,48,6.296666667,6.053333333,12.35,8.143333333,8.443333333,16.58666667,14.42333333,6.693333333,4.76
FLMNH,101872,Charlotte,Florida,1972,M,26.994735,-81.942754,50,6.866666667,6.38,13.24666667,8.456666667,8.763333333,17.22,15.41,7.763333333,5.446666667
FLMNH,101871,Charlotte,Florida,1972,F,26.929513,-82.018483,42,4.896666667,5.016666667,9.913333333,7.993333333,7.856666667,15.85,12.46,6.346666667,4.75
FLMNH,101870,Charlotte,Florida,1972,M,26.994735,-81.942754,51,6.456666667,6.813333333,13.27,9.626666667,9.283333333,18.91,16.42333333,7.586666667,5.55
FLMNH,101869,Charlotte,Florida,1972,M,26.893139,-82.236609,52,6.516666667,6.346666667,12.86333333,9.516666667,8.963333333,18.48,16.14333333,7.586666667,5.773333333
FLMNH,101868,Charlotte,Florida,1972,M,26.893139,-82.236609,50,6.803333333,6.526666667,13.33,8.823333333,9.026666667,17.85,14.88666667,7.083333333,5.296666667
FLMNH,101867,Charlotte,Florida,1972,M,26.985249,-82.104597,46.33333333,5.996666667,6.266666667,12.26333333,8.036666667,8.253333333,16.29,14.31666667,6.81,4.653333333
FLMNH,101866,Charlotte,Florida,1972,M,26.985249,-82.104597,53.66666667,7,6.926666667,13.92666667,9.74,9.34,19.08,16.73333333,7.713333333,5.536666667
FLMNH,101863,Charlotte,Florida,1959,M,26.975237,-82.369299,51,6.653333333,5.863333333,12.51666667,10.1,9.1,19.2,16.64,8.356666667,6.203333333
FLMNH,101862,Charlotte,Florida,1959,M,26.975237,-82.369299,51,6.796666667,6.676666667,13.47333333,10.27666667,9.163333333,19.44,16.65333333,8.32,6.423333333
FLMNH,102273,De Soto,Florida,1972,F,27.088506,-81.99396,38,4.963333333,4.89,9.853333333,7,6.826666667,13.82666667,11.59,5.976666667,4.276666667
FLMNH,102275,De Soto,Florida,1972,M,27.088506,-81.99396,49.33333333,6.303333333,6.336666667,12.64,8.433333333,8.46,16.89333333,15.89,7.763333333,5.523333333
FLMNH,102278,De Soto,Florida,1972,M,27.067829,-81.95837,50,6.393333333,5.54,11.93333333,8.68,7.91,16.59,15.47,7.863333333,5.7
FLMNH,102276,De Soto,Florida,1972,M,27.161318,-81.881549,48,6.293333333,6.436666667,12.73,9.203333333,9.063333333,18.26666667,15.53,7.596666667,5.356666667
FLMNH,152793,Palm Beach,Florida,2008,M,26.367566,-80.117898,54,6.31,6.11,12.42,9.14,8.78,17.92,17.13,8.62,6.39
FLMNH,102331,Palm Beach,Florida,n/a,M,26.697028,-80.322567,54,6.86,5.71,12.57,8.71,7.94,16.65,16.65,8.03,6.07
FLMNH,102326,Palm Beach,Florida,n/a,M,26.681865,-80.242483,56,7.9,6.66,14.56,10.41,9.01,19.42,18.91,9.65,7.08
FLMNH,102330,Palm Beach,Florida,n/a,F,26.681865,-80.242483,48,5.55,4.85,10.4,8.05,7.04,15.09,14.43,6.89,5.16
FLMNH,102336,Palm Beach,Florida,1959,F,26.769206,-80.061333,44,5.62,4.36,9.98,7.32,6.02,13.34,12.69,6.19,4.61
FLMNH,102337,Palm Beach,Florida,1959,M,26.769206,-80.061333,49,5.68,4.98,10.66,7.4,6.68,14.08,14.34,6.85,4.99
FLMNH,102329,Palm Beach,Florida,1959,M,26.681865,-80.242483,46,6.03,5.12,11.15,8.35,7.18,15.53,15.34,8.06,5.76
FLMNH,102333,Palm Beach,Florida,1959,F,26.769206,-80.061333,46,5.55,4.51,10.06,7.26,6.57,13.83,12.93,6.62,5.27
FLMNH,102339,Palm Beach,Florida,1959,M,26.769206,-80.061333,48,6.74,5.94,12.68,8.67,7.84,16.51,14.59,7.24,5.13
FLMNH,4065-1,Palm Beach,Florida,1948,M,26.591936,-80.230268,53,7.09,6.24,13.33,9.86,8.28,18.14,18.46,9.2,6.91
FLMNH,102328,Palm Beach,Florida,n/a,F,26.681865,-80.242483,44,4.64,4.26,8.9,6.69,6.46,13.15,12.86,6.36,4.47
FLMNH,4065-3,Palm Beach,Florida,1948,M,26.591936,-80.230268,48,5.25,4.85,10.1,8.48,7.87,16.35,15.51,7.85,5.95
FLMNH,2508-2,Palm Beach,Florida,1948,F,26.72868,-80.099945,38,4.93,3.11,8.04,6.3,5.63,11.93,11.53,6.03,4.89
FLMNH,4065-4,Palm Beach,Florida,1948,F,26.591936,-80.230268,40,4.73,3.99,8.72,6.64,5.48,12.12,12.99,6.13,4.85
FLMNH,2506-2,Palm Beach,Florida,1948,F,26.587815,-80.084551,46,6.06,5.31,11.37,8.43,7.07,15.5,13.53,7,5.47
FLMNH,3219-1,Palm Beach,Florida,1949,F,26.622489,-80.049275,43,6.02,4.53,10.55,7.92,6.51,14.43,12.69,6.59,4.97
